[540249.929344] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8578, bssidx: 0
[540312.888695] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8579, bssidx: 0
[540375.893538] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8580, bssidx: 0
[540438.889395] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8581, bssidx: 0
[540501.935365] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8582, bssidx: 0
[540564.936435] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8583, bssidx: 0
[540627.909179] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8584, bssidx: 0
[540690.913719] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8585, bssidx: 0
[540753.940413] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8586, bssidx: 0
[540816.937727] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8587, bssidx: 0
[540879.939317] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8588, bssidx: 0
[540942.927296] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8589, bssidx: 0
[541005.938160] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8590, bssidx: 0
[541068.935954] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8591, bssidx: 0
[541131.935471] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8592, bssidx: 0
[541194.877883] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8593, bssidx: 0
[541257.883448] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8594, bssidx: 0
[541320.932604] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8595, bssidx: 0
